*,use,folio,nr,geometry,agri_categories,use_all
14,['Volière'],1,[14.0],"POLYGON ((6.633337469690787 46.52266854963309, 6.633337448277643 46.52266998691486, 6.633355758998125 46.522670979352675, 6.633356913077047 46.52264942603776, 6.63333860664645 46.52264814614384, 6.633337495386562 46.52266682489491, 6.633337469690787 46.52266854963309))",['voliere'],Volière
19,['grenier'],1,[19.0],"POLYGON ((6.633698420893341 46.522594352316496, 6.633746683131262 46.52254179718246, 6.633749207476441 46.52254009017201, 6.633752109741446 46.522540973223535, 6.633755432730715 46.5225415717732, 6.633769449315682 46.52252327206625, 6.633759892514242 46.52252176682913, 6.633719672988327 46.52250969451521, 6.633713868462813 46.52250792841047, 6.633694767711134 46.52250405555699, 6.633648725856829 46.522575313063314, 6.633644853712002 46.522583622703024, 6.633697970203507 46.522596649012684, 6.633698420893341 46.522594352316496))",['grenier'],"Atelier, grenier"
76,['Hangar'],1,[78.0],"POLYGON ((6.63374338638878 46.522455527768244, 6.63370530906 46.52243944583309, 6.633657098244166 46.52248855147333, 6.633655797543035 46.52249199208487, 6.633694767711134 46.52250405555699, 6.633713868462813 46.52250792841047, 6.633787008927805 46.52243485072807, 6.633775039089636 46.522427578637675, 6.633773789760977 46.52242756977408, 6.633772956875204 46.52242756386501, 6.633769174646694 46.52242983692509, 6.633766616064639 46.52243384358701, 6.63374338638878 46.522455527768244))",['hangar'],Hangar
95,['pressoir'],1,[97.0],"POLYGON ((6.633870099545301 46.52270050296681, 6.633670987999445 46.52281437251526, 6.633667227144067 46.52281520829007, 6.633662178422719 46.52281862230721, 6.633686180594778 46.522884914566575, 6.633689937173933 46.522884366247574, 6.633737754505065 46.52286170658053, 6.633751965042055 46.52285835756203, 6.633760345330836 46.52285496717766, 6.633931057246943 46.52274635827803, 6.633929408583514 46.522745196636606, 6.633928601369814 46.522743465990416, 6.633919125836425 46.5227364990955, 6.633870932435285 46.522700508875204, 6.633870099545301 46.52270050296681))",['pressoir'],"Maison d'habitation, cave, pressoir"
179,['pressoir'],1,[180.0],"POLYGON ((6.635478903829802 46.52203401054696, 6.635481972674152 46.52196762284873, 6.635341186242568 46.52196863843871, 6.635340293556582 46.521972656931354, 6.63534031476763 46.52202727955314, 6.635471076895687 46.52202820540022, 6.635471034183225 46.5220310799647, 6.635470991470756 46.52203395452919, 6.635470987199509 46.52203424198566, 6.635478903829802 46.52203401054696))",['pressoir'],"Maison d'habitation, bureaux, pressoir"
255,['Hangar'],2,[25.0],"POLYGON ((6.632134678309086 46.52185410946883, 6.632134669724434 46.52185468483352, 6.632192162391402 46.52188444025977, 6.632226362503533 46.5218550489474, 6.632183387972743 46.52183000015167, 6.632168899893989 46.52182327976193, 6.632134682601412 46.52185382178648, 6.632134678309086 46.52185410946883))",['hangar'],Hangar
345,['Hangar'],2,[111.0],"POLYGON ((6.631419615926709 46.52206509607346, 6.631439972934226 46.521985832161384, 6.631413317042632 46.52198449164159, 6.631412015188078 46.521987934932994, 6.631394622769969 46.52206405509358, 6.631419615926709 46.52206509607346))",['hangar'],"Hangar, chambre à lessive"
359,['Hangar'],2,[125.0],"POLYGON ((6.631259551496963 46.52203777515036, 6.631253918672146 46.522052120707286, 6.631253458934564 46.52205499456439, 6.631252573835514 46.52205844082009, 6.631239305930436 46.52210955928953, 6.631265540814588 46.52211118456641, 6.631293451365097 46.52211224633645, 6.631306573147189 46.522043000908205, 6.631259551496963 46.52203777515036))",['hangar'],Hangar
385,['Hangar'],2,[149.0],"POLYGON ((6.631235061602417 46.521751901937186, 6.631251169339185 46.521761798816165, 6.631372727296094 46.52182768699647, 6.631381539522218 46.52182372172264, 6.631400899772194 46.52181120011789, 6.631313503654637 46.52174641822289, 6.631303999698323 46.52174088404273, 6.631302783777461 46.52173857368631, 6.631277184978325 46.52172227958523, 6.631235061602417 46.521751901937186))",['hangar'],"Hangar, atelier"
407,['Hangar'],2,[171.0],"POLYGON ((6.631732652270464 46.52161762779903, 6.631737679204963 46.5216159372771, 6.631755767534935 46.521604845130476, 6.631738018258145 46.52156530221939, 6.631708350740685 46.521570270030125, 6.631732652270464 46.52161762779903))",['hangar'],Hangar
